,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
590,Oaxaca,3319,3319.0,2007,9
591,Puebla,356,356.0,2007,9
592,Quintana roo,2870,2707.0,2007,9
593,San luis potosi,1768,1768.0,2007,9
594,Sinaloa,12298,11730.0,2007,9
595,Sonora,50,50.0,2007,9
596,Tabasco,4624,4003.0,2007,9
597,Tamaulipas,714,714.0,2007,9
598,Veracruz,21128,20842.0,2007,9
599,Yucatan,334,272.0,2007,9
600,Total,144913,142216.0,2007,9
601,Sinaloa,3160,1200.0,2007,11
602,Total,81502,1200.0,2007,11
603,Campeche,2802,2737.0,2007,12
604,Chiapas,45124,44969.0,2007,12
605,Chihuahua,8,5.0,2007,12
606,Guerrero,103,103.0,2007,12
607,Hidalgo,4668,4668.0,2007,12
608,Jalisco,1964,1964.0,2007,12
609,Michoacan,210,210.0,2007,12
610,Nayarit,42576,41801.0,2007,12
611,Oaxaca,3319,3319.0,2007,12
612,Puebla,356,356.0,2007,12
613,Quintana roo,2870,2707.0,2007,12
614,San luis potosi,1768,1768.0,2007,12
615,Sinaloa,12298,11730.0,2007,12
616,Sonora,50,50.0,2007,12
617,Tabasco,4624,4003.0,2007,12
618,Tamaulipas,714,714.0,2007,12
619,Veracruz,21128,20842.0,2007,12
620,Yucatan,334,272.0,2007,12
621,Total,144913,142216.0,2007,12
622,Chiapas,42100,2876.0,2008,1
623,Hidalgo,4172,3992.0,2008,1
624,Nayarit,34898,757.0,2008,1
625,Quintana roo,3078,361.0,2008,1
626,San luis potosi,1440,58.0,2008,1
627,Sinaloa,7642,3000.0,2008,1
628,Veracruz,21880,915.0,2008,1
629,Yucatan,601,220.0,2008,1
630,Total,127006,12179.0,2008,1
631,Chiapas,42764,6905.0,2008,2
632,Hidalgo,4680,3992.0,2008,2
633,Nayarit,34898,8128.0,2008,2
634,Oaxaca,2444,815.0,2008,2
635,Quintana roo,3091,1088.0,2008,2
636,San luis potosi,1444,58.0,2008,2
637,Sinaloa,7726,4022.0,2008,2
638,Tabasco,4237,1059.0,2008,2
639,Tamaulipas,499,4.0,2008,2
640,Veracruz,27873,2953.0,2008,2
