,Estado,Año,Mes,SPI
555,Aguascalientes,1997,4,1.972222222
556,Aguascalientes,1997,5,0.015
557,Aguascalientes,1997,6,-0.523333333
558,Aguascalientes,1997,7,-0.686666667
559,Aguascalientes,1997,8,-1.366666667
560,Aguascalientes,1997,9,-1.333333333
561,Aguascalientes,1997,10,0.728333333
562,Aguascalientes,1997,11,0.579444444
563,Aguascalientes,1997,12,-0.217777778
564,Aguascalientes,1998,1,-0.522222222
565,Aguascalientes,1998,2,-0.182777778
566,Aguascalientes,1998,3,0.226666667
567,Aguascalientes,1998,4,-0.205555556
568,Aguascalientes,1998,5,-1.148333333
569,Aguascalientes,1998,6,-0.058888889
570,Aguascalientes,1998,7,-1.153333333
571,Aguascalientes,1998,8,0.688333333
572,Aguascalientes,1998,9,0.53
573,Aguascalientes,1998,10,0.085
574,Aguascalientes,1998,11,-0.168888889
575,Aguascalientes,1998,12,-0.385
576,Aguascalientes,1999,1,-0.446666667
577,Aguascalientes,1999,2,-0.173888889
578,Aguascalientes,1999,3,0.386666667
579,Aguascalientes,1999,4,-0.102777778
580,Aguascalientes,1999,5,-0.622777778
581,Aguascalientes,1999,6,0.179444444
582,Aguascalientes,1999,7,0.181666667
583,Aguascalientes,1999,8,-0.763333333
584,Aguascalientes,1999,9,-0.437777778
585,Aguascalientes,1999,10,-0.749444444
586,Aguascalientes,1999,11,-0.345
587,Aguascalientes,1999,12,-0.382777778
588,Aguascalientes,2000,1,-0.446666667
589,Aguascalientes,2000,2,-0.173888889
590,Aguascalientes,2000,3,0.373888889
591,Aguascalientes,2000,4,-0.026111111
592,Aguascalientes,2000,5,1.719444444
593,Aguascalientes,2000,6,0.825555556
594,Aguascalientes,2000,7,-0.758333333
595,Aguascalientes,2000,8,-0.627222222
596,Aguascalientes,2000,9,-1.373888889
597,Aguascalientes,2000,10,-0.411666667
598,Aguascalientes,2000,11,-0.248333333
599,Aguascalientes,2000,12,0.870555556
600,Aguascalientes,2001,1,-0.37
601,Aguascalientes,2001,2,-0.085
602,Aguascalientes,2001,3,1.327777778
603,Aguascalientes,2001,4,1.241666667
604,Aguascalientes,2001,5,0.312222222
605,Aguascalientes,2001,6,0.043888889
606,Aguascalientes,2001,7,-0.055
607,Aguascalientes,2001,8,0.052777778
608,Aguascalientes,2001,9,0.643333333
609,Aguascalientes,2001,10,-0.553333333
610,Aguascalientes,2001,11,-0.253888889
611,Aguascalientes,2001,12,0.123888889
612,Aguascalientes,2002,1,0.940555556
613,Aguascalientes,2002,2,1.161111111
614,Aguascalientes,2002,3,0.350555556
615,Aguascalientes,2002,4,0.196666667
616,Aguascalientes,2002,5,0.436111111
617,Aguascalientes,2002,6,0.14
618,Aguascalientes,2002,7,0.643888889
619,Aguascalientes,2002,8,0.365555556
620,Aguascalientes,2002,9,0.601111111
621,Aguascalientes,2002,10,0.416666667
622,Aguascalientes,2002,11,1.016666667
623,Aguascalientes,2002,12,-0.441111111
624,Aguascalientes,2003,1,-0.046666667
625,Aguascalientes,2003,2,-0.019444444
626,Aguascalientes,2003,3,0.346111111
627,Aguascalientes,2003,4,0.057222222
628,Aguascalientes,2003,5,0.241666667
629,Aguascalientes,2003,6,0.371666667
630,Aguascalientes,2003,7,1.255
631,Aguascalientes,2003,8,0.251111111
632,Aguascalientes,2003,9,1.137777778
633,Aguascalientes,2003,10,0.485
634,Aguascalientes,2003,11,-0.120555556
635,Aguascalientes,2003,12,-0.459444444
636,Aguascalientes,2004,1,0.974444444
637,Aguascalientes,2004,2,0.041666667
638,Aguascalientes,2004,3,1.791111111
639,Aguascalientes,2004,4,-0.005
640,Aguascalientes,2004,5,1.223333333
641,Aguascalientes,2004,6,1.814444444
642,Aguascalientes,2004,7,-0.242222222
643,Aguascalientes,2004,8,-0.111111111
644,Aguascalientes,2004,9,1.013333333
645,Aguascalientes,2004,10,-0.239444444
646,Aguascalientes,2004,11,-0.175
647,Aguascalientes,2004,12,-0.349444444
648,Aguascalientes,2005,1,-0.444444444
